,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Cox5b,0.05717098102966345,1.0,1.0,1.0,0.5,0.5,0.09065513445343643,0.9580853645745789,0.03993824944158675,0.042384202528813975,-0.00542515911837
Gstm3,0.22079968259895388,1.0,1.0,1.0,0.5,0.5,0.27052195665756357,1.0,0.11917883581062123,0.12647774964532724,0.0146747591028
Cox4i1,0.08625908490389644,1.0,1.0,1.0,0.5,0.5,0.12750870889070604,1.0,0.056174144491146896,0.05961443854663443,0.00215097161226
Esr1,0.004549145862802559,1.0,1.0,1.0,0.5,0.5,0.010849760804622693,0.11466528728588601,0.004779877676086182,0.00507261350506865,-0.0233342012323
Mgp,0.04658382279277363,1.0,1.0,1.0,0.5,0.5,0.07638602930041814,0.8072828656857332,0.03365197471103427,0.03571293513335158,0.0217561223492
Lsp1,0.0009741983488957479,0.9999999994275034,0.9999992887690056,1.0,0.5,0.5,0.002906210211083552,0.03071417285301706,0.0012803350746731102,0.0013587471125658152,-0.0177169942776
Hspa5,0.0271921834271699,1.0,1.0,1.0,0.5,0.5,0.048755743041993024,0.5152732289144123,0.02147941249065361,0.022794884150726804,-0.0134992381881
Pdgfa,0.0007675577854388848,0.9999999476488366,0.9999882800759998,1.0,0.5,0.5,0.0023756123817155507,0.025106569733155917,0.0010465794403096951,0.001110675494814991,-0.0144752852281
Hexb,3.492563669646005e-07,0.007596663230895695,0.006793605372630629,0.006816785770415072,0.006816785770415072,0.005746664262035536,3.2911797653453113e-06,3.478270904756032e-05,1.4499339636739284e-06,1.5387328094999302e-06,-0.0769414412546
Tmsb4x,0.0003098511161427868,0.9988480943287245,0.9920135833354065,1.0,0.5,0.5,0.0010801985780029939,0.011416037874286224,0.0004758830320514243,0.0005050277138459449,-0.0277296464338
Id1,2.569081102492596e-08,0.0005607758817220976,0.0005210793719188089,0.0005212151740736978,0.000521189483262673,0.0004711694741971421,3.6235992759575805e-07,3.829587209052336e-06,1.5963818556121632e-07,1.694149664234798e-07,0.079289115115
